No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
34,薛之谦,男,1983年7月17日,歌手、影视演员、音乐制作人,中国,上海,"薛之谦（JokerXue），1983年7月17日出生于上海，华语流行乐男歌手、影视演员、音乐制作人，毕业于格里昂酒店管理学院。
2005年，因参加选秀节目《我型我秀》而正式出道[1]  。2006年，发行首张同名专辑《薛之谦》，随后凭借歌曲《认真的雪》获得广泛关注 。",https://baike.baidu.com/item/%E8%96%9B%E4%B9%8B%E8%B0%A6/144417
35,周星驰,男,1962年6月22日,演员、导演、编剧、制作人、商人,中国,香港,"周星驰，1962年6月22日生于香港，祖籍浙江宁波，中国香港演员、导演、编剧、制作人、商人，毕业于无线电视艺员训练班。
1980年成为丽的电视台的特约演员，从而进入演艺圈。1981年出演个人首部电视剧《IQ成熟时》。1995年凭借喜剧爱情片《大话西游》奠定其在华语影坛的地位。演艺事业外，周星驰还涉足商界。1989年成立星炜有限公司。1996年成立星辉公司 。2010年出任比高集团有限公司执行董事  。",https://baike.baidu.com/item/%E5%91%A8%E6%98%9F%E9%A9%B0
36,郭德纲,男,1973年1月18日,相声演员，电影、电视剧演员，电视脱口秀主持人,中国,天津,"郭德纲，男，出生于1973年1月18日，天津人，相声演员，电影、电视剧演员，电视脱口秀主持人。
1979年投身艺坛，先拜评书前辈高庆海学习评书，后跟随相声名家常宝丰学相声，又师从相声大师侯耀文。1996年，创办北京德云社。2005年起，郭德纲及其德云社异军突起，使公众重新关注相声这一艺术门类，实现了相声的二次复兴。",https://baike.baidu.com/item/%E9%83%AD%E5%BE%B7%E7%BA%B2
37,张国荣,男,1956年9月12日,歌手、演员、音乐人,中国,香港,张国荣（1956年9月12日至2003年4月1日），生于香港，男歌手、演员、音乐人；影视歌多栖发展的代表之一。1977年正式出道。1983年以《风继续吹》成名。1984年演唱的《Monica》是香港歌坛第一支同获十大中文金曲、十大劲歌金曲的舞曲。1978年开始参演电视剧。80年代中期将事业重心移至影坛，成功塑造了宁采臣、旭仔、程蝶衣、欧阳锋、何宝荣等角色。1993年主演的《霸王别姬》是中国电影史上首部获得戛纳国际电影节金棕榈大奖的电影，2010年被美国CNN评为“史上最伟大的25位亚洲演员”之一。2003年4月1日逝世。,https://baike.baidu.com/item/%E5%BC%A0%E5%9B%BD%E8%8D%A3/6804
38,朱亚文,男,1984年4月21日,演员,中国,江苏省盐城市,朱亚文，1984年4月21日生于江苏省盐城市，中国大陆男演员，2006年毕业于北京电影学院表演系本科。2012年凭借《远去的飞鹰》入围国际艾美奖最佳男演员。2013年在郑晓龙执导的电视剧《红高粱》饰演男主角余占鳌。2018年3月获得湖南卫视《声临其境》第一季总冠军,https://baike.baidu.com/item/%E6%9C%B1%E4%BA%9A%E6%96%87/10390180
39,雷佳音,男,1983年8月29日,演员,中国,辽宁省鞍山市,雷佳音，1983年8月29日出生于辽宁省鞍山市，中国内地影视男演员，毕业于上海戏剧学院表演系。2004年，出演个人首部电视剧《江湖俏佳人》，从而正式进入演艺圈。2006年，他以第一名的成绩考进上海话剧中心。2009年，出演个人首部电影《高考1977》；同年，相继出演了爱情喜剧《和空姐一起的日子、职场励志喜剧《杜拉拉升职记》。2011年，获得第15届佐临话剧艺术奖最具潜质新人奖  。,https://baike.baidu.com/item/%E9%9B%B7%E4%BD%B3%E9%9F%B3
40,韩东君,男,1992年7月21日,演员、赛车手,中国,黑龙江省哈尔滨市,韩东君，1992年7月21日出生于黑龙江省哈尔滨市，中国内地男演员、赛车手，毕业于上海戏剧学院2012级表演系。2013年正式拿到中国汽车运动联合会赛车驾照；同年参演首部电视剧《神雕侠侣》进入娱乐圈；2014年因出演话剧版《山楂树之恋》中男主角“老三”一角而获得关注。,https://baike.baidu.com/item/%E9%9F%A9%E4%B8%9C%E5%90%9B
41,李泉,男,1969年10月12日,歌手、音乐制作人,中国,上海市,李泉（JamesLi），1969年10月12日出生于上海市，祖籍武汉市黄陂区，华语流行乐男歌手、音乐制作人，毕业于上海音乐学院。1995年，推出首张个人音乐专辑《上海梦》，从而正式进入演艺圈。1996年，为周冰倩、黄格选、杜德伟等歌手创作歌曲。2001年，凭借专辑《走钢索的人》获得“首届音乐风云榜颁奖礼”年度最佳创作歌手奖。2002年，获得“第二届全球华语歌曲排行榜”最佳创作歌手奖。2004年，获得“第二届东南劲爆音乐榜”内地劲爆最佳唱作男歌手奖。,https://baike.baidu.com/item/%E6%9D%8E%E6%B3%89/21743
42,陈伟霆,男,1985年11月21日,演员、歌手、主持人,中国,香港,陈伟霆（WilliamChan），1985年11月21日出生于中国香港，华语影视男演员、歌手、主持人。2003年，因参加全球华人新秀香港区选拔赛而进入演艺圈。2006年成为Sun Boy’z组合一员。2008年开始独立发展，随后推出个人首张专辑《Will Power》，并获香港十大劲歌金曲颁奖礼最受欢迎男新人金奖及香港十大中文金曲最有前途新人金奖。2014年，因主演古装仙侠偶像剧《古剑奇谭》被内地观众熟知，并获得国剧盛典年度最受欢迎全能艺人及年度电视剧媒体最期待演员,https://baike.baidu.com/item/%E9%99%88%E4%BC%9F%E9%9C%86
43,吴磊,男,1999年12月26日,演员,中国,上海市,吴磊，1999年12月26日出生于上海，中国内地影视男演员。2005年，因出演个人首部作品《封神榜之凤鸣岐山》而踏入演艺圈。2009年，因出演喜剧《家有外星人》中唐不苦一角而被观众认识。2015年，凭借古装谋权剧《琅琊榜》获得国剧盛典最具潜质演员奖。2016年，主演3D喜剧《大闹东海》及奇幻片《阿修罗》。2017年，主演改编自天蚕土豆同名小说的古装玄幻剧《斗破苍穹》,https://baike.baidu.com/item/%E5%90%B4%E7%A3%8A/6581
44,刘德华,男,1961年9月27日,演员、歌手、作词人、制片人,中国,香港,刘德华（AndyLau），1961年9月27日出生于中国香港，中国香港男演员、歌手、作词人、制片人。1981年出演电影处女作《彩云曲》。1983年主演的武侠剧《神雕侠侣》在香港获得62点的收视纪录。2004年凭借警匪片《无间道3：终极无间》获得第41届台湾金马奖最佳男主角奖。1985年发行首张个人专辑《只知道此刻爱你》。2000年被《吉尼斯世界纪录大全》评为“获奖最多的香港男歌手”。2004年第六次获得十大劲歌金曲最受欢迎男歌星奖。,https://baike.baidu.com/item/%E5%88%98%E5%BE%B7%E5%8D%8E/114923
45,周渝民,男,1981年6月9日,演员、流行乐歌手,中国,台湾省宜兰县,周渝民（VicChou），1981年6月9日出生于台湾省宜兰县，中国台湾影视男演员、流行乐歌手，F4组合成员。2001年，凭借在偶像剧《流星花园》饰演花泽类而崭露头角。2009年，在电视剧《痞子英雄》中成功饰演陈在天并凭借这部作品入围了第44届台湾电视金钟奖最佳男主角。自2008年主演了电影《蝴蝶飞》之后，周渝民开始走上大荧幕，2011年，凭借影片《爱你一万年》获得大阪亚洲电影节最受观众欢迎大奖,https://baike.baidu.com/item/%E5%91%A8%E6%B8%9D%E6%B0%91
