No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
138,任正非,男,1944年10月25日,华为技术有限公司主要创始人、总裁,中国,贵州省镇宁县,"任正非，是华为技术有限公司主要创始人、总裁。1944年10月25日出生于贵州省镇宁县，祖籍浙江省浦江县。2003年，任正非荣膺网民评选的""2003年中国IT十大上升人物""；2005年入选美国《时代》杂志全球一百位最具影响力人物；2011年，任正非以11亿美元首次进入福布斯富豪榜，排名全球第1153名，中国第92名。",https://baike.baidu.com/item/%E4%BB%BB%E6%AD%A3%E9%9D%9E
139,罗永浩,男,1972年1月8日,锤子科技创始人,中国,吉林省延边朝鲜族自治州,罗永浩（锤子科技创始人），男，1972年出生于吉林省延边朝鲜族自治州和龙县（今和龙市）。锤子科技创始人。曾先后创办过牛博网、老罗英语培训学校，并著有《我的奋斗》一书。,https://baike.baidu.com/item/%E7%BD%97%E6%B0%B8%E6%B5%A9/26814
140,柳传志,男,1944年4月29日,企业家、投资家,中国,江苏镇江,柳传志，出生于江苏镇江，曾任联想控股有限公司总裁、董事局主席，2011年11月2日卸任。现任联想集团有限公司董事局名誉主席，联想集团高级顾问。企业家、投资家、泰山会成员、全球CEO发展大会联合主席。,https://baike.baidu.com/item/%E6%9F%B3%E4%BC%A0%E5%BF%97
141,董明珠,女,1954年8月,珠海格力电器股份有限公司董事长,中国,江苏南京,董明珠（珠海格力电器股份有限公司董事长），出生于江苏南京，企业家，先后毕业于安徽芜湖职业技术学院、中南财经政法大学EMBA2008级、中国社会科学院经济学系研究生班、中欧国际工商学院EMBA。2017年1月10日，董明珠荣获“2016十大经济年度人物”,https://baike.baidu.com/item/%E8%91%A3%E6%98%8E%E7%8F%A0/1133
142,王健林,男,1954年10月24日,万达集团股份有限公司董事长,中国,四川省广元市,王健林，男，1954年10月24日生于四川省广元市苍溪县，1989年起担任大连万达集团股份有限公司董事长。《2017年福布斯全球富豪排行榜》发布，王健林以净资产313亿美元超过李嘉诚，成为亚洲首富。 ,https://baike.baidu.com/item/%E7%8E%8B%E5%81%A5%E6%9E%97/1065126
143,王石,男,1951年1月,万科集团创始人、董事会名誉主席,中国,广西柳州,王石（万科集团创始人、董事会名誉主席），男，1951年1月生，原籍安徽金寨，生于广西柳州，兰州交通大学（原兰州铁道学院）给排水专业毕业，万科企业股份有限公司创始人，原任集团董事会主席，兼任中国房地产协会常务理事、中国房地产协会城市住宅开发委员会副主任委员、深圳市房地产协会副会长，深圳市总商会副会长等职。,https://baike.baidu.com/item/%E7%8E%8B%E7%9F%B3/1796370
144,王思聪,男,1988年1月3日,北京普思投资有限公司董事长、IG电子竞技俱乐部创始人、万达集团董事,中国,辽宁省大连市,王思聪，1988年1月3日出生于辽宁省大连市，毕业于伦敦大学学院哲学系，万达集团董事长王健林的独子，北京普思投资有限公司董事长、IG电子竞技俱乐部创始人、万达集团董事。,https://baike.baidu.com/item/%E7%8E%8B%E6%80%9D%E8%81%AA/57581
145,陈欧,男,1983年2月4日,聚美优品创始人兼CEO,中国,四川德阳,陈欧，1983年2月4日出生于四川德阳，中国企业家、聚美优品创始人兼CEO。16岁留学新加坡就读南洋理工大学，大学期间曾成功创办在线游戏平台GGGame。26岁获得美国斯坦福大学MBA学位，2009年回国创业，迅速成为中国80后青年的创业榜样。2012年、2013年，陈欧两次荣登福布斯中文版评出的“中国30位30岁以下创业者名单”，并荣获“2014年中国互联网十大风云人物”称号。,https://baike.baidu.com/item/%E9%99%88%E6%AC%A7/21946
146,李嘉诚,男,1928年7月29日,长江和记实业有限公司及长江实业地产有限公司主席,中国,广东潮州潮安县,李嘉诚（1928年7月29日），汉族，出生于广东潮州潮安县，祖籍福建莆田，长江和记实业有限公司及长江实业地产有限公司主席。是香港开埠后第三任首富。2018年3月16日，李嘉诚正式宣布退休。,https://baike.baidu.com/item/%E6%9D%8E%E5%98%89%E8%AF%9A/1044
147,乐嘉,男,1975年5月16日,主持人，作家，中国性格色彩研究中心创办人,中国,上海,乐嘉，1975年5月16日出生于上海，祖籍浙江省宁波市，中国大陆主持人，作家，中国性格色彩研究中心创办人，“FPA性格色彩”创始人，演讲家和培训导师，上海大学悉尼工商学院、西北大学管理学院、以及河海大学的客座教授及清华长三角研究院、上海戏剧学院、武汉大学、中山大学的特聘导师。20102013年乐嘉担任江苏卫视《非诚勿扰》节目嘉宾，并因此在电视荧幕上为众人所知。2013年7月担任安徽卫视《超级演说家》导师。2015年11月21日，担任CCTV《了不起的挑战》节目主持人。,https://baike.baidu.com/item/%E4%B9%90%E5%98%89
148,刘晓庆,女,1955年10月30日,演员,中国,重庆涪陵,刘晓庆，1955年10月30日出生于重庆涪陵，1970年毕业于四川音乐学院附中。1973年被八一电影制片厂选中，担任《南海长城》女主角，从此跃上银幕。1975年，进入中华人民共和国全国青年联合会委员，三个月后走上银幕。1979年凭《小花》崭露头角。1980年正式调入北京电影制片厂。同年因出演《瞧这一家子》获得第3届大众电影百花奖最佳配角奖,https://baike.baidu.com/item/%E5%88%98%E6%99%93%E5%BA%86/18440
149,金星,女,1967年8月13日,舞蹈家、脱口秀主持人,中国,辽宁沈阳,金星，1967年8月13日出生在辽宁沈阳，中国舞蹈家、脱口秀主持人。1978年加入沈阳军区前进歌舞团。1984年毕业于解放军艺术学院舞蹈系。1995年接受变性手术。2011年担任《舞林大会》评委。2012年主持个人脱口秀节目《金星撞火星》。2014年在《舞林争霸》中担任导师。2015年1月，主持个人脱口秀节目《金星秀》。2015年3月，在《超级演说家》担任导师 。,https://baike.baidu.com/item/%E9%87%91%E6%98%9F/3456513
150,杨澜,女,1968年3月31日,主持人、媒体人、传媒企业家、慈善家,中国,北京,杨澜，1968年3月31日生于北京。中国电视节目主持人、媒体人、传媒企业家、慈善家。阳光媒体集团主席和阳光文化基金会主席。第十届、十一届、十二届全国政协委员。1990年至1994年担任中央电视台《正大综艺》节目主持人，并于1994年获中国第一届主持人“金话筒奖”；之后赴美深造，毕业于美国哥伦比亚大学国际及公共事务学院，获国际事务硕士学位；之后加盟香港凤凰卫视，开创中国电视第一个深度高端访谈节目《杨澜访谈录》，截至2014年已访问过全球700余位人物，在全球华语观众中具有较高美誉度。,https://baike.baidu.com/item/%E6%9D%A8%E6%BE%9C/12843
151,何炅,男,1974年4月28日,主持人、影视演员、流行乐歌手,中国,湖南长沙,何炅，1974年4月28日出生湖南长沙，中国内地主持人、影视演员、流行乐歌手、中国电视艺术家协会主持人专业委员会副主任。1995年，主持央视节目《大风车》。1998年起，主持湖南卫视《快乐大本营》。2004年，获得第二十二届中国电视金鹰奖优秀主持人奖  。,https://baike.baidu.com/item/%E4%BD%95%E7%82%85
152,沈梦辰,女,1989年6月13日,主持人、演员、模特,中国,湖南省湘西吉首市,沈梦辰，1989年6月13日出生于湖南省湘西吉首市，毕业于湖南大学06级表演系本科，中国内地女主持人、演员、模特。2008年，沈梦辰参加湖南娱乐频道“年度星姐选举”总决赛，并荣获最佳上镜奖。2010年，担任湖南娱乐频道综艺时尚类节目《好女人》的主持人，从而正式开启了她的主持生涯。,https://baike.baidu.com/item/%E6%B2%88%E6%A2%A6%E8%BE%B0
153,吴昕,女,1983年1月29日,主持人、演员,中国,辽宁省沈阳市,吴昕（Orfila），1983年1月29日出生于辽宁省沈阳市，中国电视节目主持人、演员。2003年10月，吴昕开始担任大连电视台《时尚十分》栏目的兼职主持人。2006年1月，吴昕获得“闪亮新主播”亚军，并签约湖南卫视，与何炅、李维嘉、谢娜、杜海涛一起主持娱乐节目《快乐大本营》。2009年，吴昕与杜海涛携手出新书《木土日斤》。,https://baike.baidu.com/item/%E5%90%B4%E6%98%95/6540103
154,吴宗宪,男,1962年9月26日,主持人,中国,台湾省台南市,"吴宗宪，1962年9月26日生于台湾省台南市，中国台湾歌手及综艺节目主持人。
1987年，发行第一张华语专辑《是不是这样的夜晚你才会这样的想起我》。1994年，发行第一张闽南语专辑《真心换绝情》，获得该年度金曲奖。2007年10月，吴宗宪以中视综艺节目《周日八点党》再度入围2007电视金钟奖“娱乐综艺节目主持人奖”",https://baike.baidu.com/item/%E5%90%B4%E5%AE%97%E5%AE%AA/29494
155,撒贝宁,男,1976年3月23日,主持人,中国,广东湛江,撒贝宁，1976年3月23日出生于广东湛江，籍贯湖北武汉，祖籍安徽和县。中央电视台节目主持人。1999年开始主持法制节目《今日说法》。2011年主持央视娱乐节目《我们有一套》。2012年1月11日，撒贝宁现身春晚，成为龙年春晚主持第七人。2013年2月9日，撒贝宁继续主持央视蛇年春晚。2013年11月《出彩中国人》撒贝宁成为节目的主持人。2015年，再次成为中央电视台春节联欢晚会主持人。2016年担任央视春晚主会场主持人。,https://baike.baidu.com/item/%E6%92%92%E8%B4%9D%E5%AE%81
156,蔡康永,男,1962年3月1日,主持人、作家、设计师、演员、编剧、导演,中国,台湾省台北市,蔡康永，1962年3月1日出生于台湾省台北市，台湾东海大学外文系本科，美国加州大学洛杉矶分校硕士，中国台湾节目主持人、作家、设计师、演员、编剧、导演。2004年与徐熙娣搭档主持综艺访谈节目《康熙来了》，深受观众喜爱，2005年夺得第40届金钟奖最佳综艺节目主持人奖。蔡康永出版过《那些男孩教我的事》、《蔡康永的说话之道》等多本著作。2014年正式进入内地，参与爱奇艺独播的中国首档说话达人秀《奇葩说》，并担任奇葩团长。2015年10月，蔡康永微博宣布退出康熙，称想做出些改变,https://baike.baidu.com/item/%E8%94%A1%E5%BA%B7%E6%B0%B8
157,董卿,女,1973年11月17日,主持人,中国,上海,董卿，1973年11月17日出生于上海。中国中央电视台节目主持人。先后毕业于上海戏剧学院1999届本科班和华东师范大学2002届硕士研究生班。上海戏剧学院MFA艺术硕士学位。1994年到浙江电视台工作，开启其主持生涯。1996年到上海东方电视台工作，1998年因主持《相约星期六》受到观众关注，开始小有名气。2005年，颇具黑马气质的董卿首次亮相央视春晚，随即被观众所熟知。此后，连续十三年主持央视春节联欢晚会。连续八年被评为央视年度“央视十佳主持人”。连续七年排在央视挂历女主持人中前三甲。,https://baike.baidu.com/item/%E8%91%A3%E5%8D%BF/745430
158,窦文涛,,1967年8月21日,主持人,中国,河北石家庄,窦文涛，1967年8月21日出生于河北石家庄，主持人。1989年供职于广东人民广播电台。1996年加入凤凰卫视，主持娱乐资讯节目《相聚凤凰台》，新闻节目《时事直通车》。1998年推出闲谈节目《锵锵三人行》。2003年开始主持法制节目《文涛拍案》。2004年度“中国电视排行榜”中，获选为“最佳谈话节目主持人”。,https://baike.baidu.com/item/%E7%AA%A6%E6%96%87%E6%B6%9B/1485434
159,柴静,女,1976年1月1日,记者、主持人,中国,山西临汾,柴静，女，出生于山西临汾，毕业于中国传媒大学，记者、主持人。1992年，到长沙铁道学院（现中南大学）读书，1995年，电台主持《夜色温柔》节目，1998年，到中国传媒大学学习电视编辑，并在湖南广播电视台主持《新青年》节目。2001年11月起担任中央电视台《东方时空》主持人。2003年担任《新闻调查》记者，出现在非典的第一线、矿难的真相调查；2011年起担任《看见》主持人。2013年出版讲述央视十年历程的自传性作品《看见》，销量超过100万册，成为年度最畅销书籍。2014年从央视离职，2015年初推出空气污染深度调查《穹顶之下》。,https://baike.baidu.com/item/%E6%9F%B4%E9%9D%99/1061028
160,李思思,女,1986年11月4日,主持人,中国,吉林省长春市,李思思，1986年11月4日出生于吉林省长春市。中国内地节目主持人。毕业于北京大学新闻与传播学院。2005年，以大一学生身份参加央视三套《挑战主持人》节目，并成为该节目史上第一位八期女擂主。2006年，再次参加CCTV《挑战主持人》综艺节目主持人全国选拔赛，并荣获季军。2012年至2016年，连续五次担任中央电视台春节联欢晚会主会场主持人。2018年再次担任中央电视台春节联欢晚会主会场主持人。,https://baike.baidu.com/item/%E6%9D%8E%E6%80%9D%E6%80%9D/28482
161,周涛,女,1968年3月23日,主持人，制片人,中国,安徽省淮南市,周涛，1968年3月23日生于安徽省淮南市，毕业于中国传媒大学，主持人，制片人，中共党员，硕士研究生，播音指导（正高）职称，现任北京演艺集团首席演出官，[1]995—2000年担任《综艺大观》主持人。1999年，德国国家电视一台授予周涛“金皇冠”最佳主持人奖优秀播音员主持人。从1996年起连续16年主持央视春节联欢晚会,https://baike.baidu.com/item/%E5%91%A8%E6%B6%9B/5390
162,任泉,男,1975年3月4日,演员、制片人、商人,中国,于黑龙江省齐齐哈尔市,任泉，1975年3月4日出生于黑龙江省齐齐哈尔市，中国内地演员、制片人、商人，毕业于上海戏剧学院表演系93级本科班。1994年因参演都市剧《一路等候》而出道。1997年大学毕业后，独立创业成了第一家蜀地辣子鱼餐厅。2000年在古装剧《少年包青天》中饰演公孙策一角令其声名鹊起。2014年与李冰冰和黄晓明合伙成立热辣壹号火锅店，联合创立了风投公司StarVC；12月获得中国营销盛典中国十大营销人物之一[9]  。2015年11月27日在微博上宣布任泉工作室正式解散  。2016年3月17日在微博发出消息宣布正式息影，今后专业做投资 。,https://baike.baidu.com/item/%E4%BB%BB%E6%B3%89/13897
163,李冰冰,女,1973年2月27日,演员,中国,黑龙江省哈尔滨市,李冰冰，中国大陆女演员。1973年2月27日出生于黑龙江省哈尔滨市五常市，1997年毕业于上海戏剧学院表演系本科班。2000年因主演电视剧《少年包青天》而被观众所知。,https://baike.baidu.com/item/%E6%9D%8E%E5%86%B0%E5%86%B0
164,杨钰莹,女,1971年5月11日,歌手、主持人、音乐制作人,中国,江西省南昌市,杨钰莹，1971年5月11日出生于江西省南昌市新建区石岗镇，中国女歌手、主持人、音乐制作人。1990年签约广州新时代影音公司；1991年发行个人首张专辑《为爱祝福》，歌曲主要以爱情题材为主；1992年演唱电视剧《外来妹》主题曲《我不想说》开始走红。至2014年3月，已正式出版发行十二张个人专辑，代表作《我不想说》《轻轻地告诉你》《心雨》《我在春天等你》等。,https://baike.baidu.com/item/%E6%9D%A8%E9%92%B0%E8%8E%B9
165,崔永元,男,1963年2月20日,主持人,中国,天津,崔永元，1963年出生于天津北辰区，主持人，全国政协委员。1981年考入中国传媒大学新闻系。1985年毕业后进入中央人民广播电台任记者，客串中国中央电视台策划《东方时空》等节目。1996年以《实话实说》主持人崭露头角，受到欢迎。2003年7月开始主持《小崔说事》,https://baike.baidu.com/item/%E5%B4%94%E6%B0%B8%E5%85%83
166,朱迅,女,1973年9月7日,主持人,中国,北京,朱迅，中央电视台节目主持人，生于1973年9月7日，1987年担任中国中央电视台青少年部《我们这一代》主持人。11993年—1999年连续5年主持NHK教育台《中国语讲座》；连续2年主持日本NHK电视台直播节目《中日歌会》；主持日本电视台《亚洲观》；主持NHK—1《悠久的长江·三峡》、《亚洲歌坛》、《真夜中的王国》。1997年—1999年出演日本中京电视台《艺能人竞争》；连续2年担任日本朝日电视台直播节目《今晚》节目主持人；担任2016年央视春晚陕西西安分会场主持人。2017年1月27日，担任2017年央视春晚主会场主持人。2018年担任央视春晚主会场主持人。,https://baike.baidu.com/item/%E6%9C%B1%E8%BF%85/37130
167,倪萍,女,1959年2月16日,主持人、演员和作家,中国,山东省威海市,倪萍，1959年2月16日出生于中国山东省威海市荣成，主持人、演员和作家，毕业于山东艺术学院。1983年，倪萍被定为国家二级演员。1990年进入中国中央电视台，先后主持了13届春节联欢晚会，1992年，获得第6届星光奖最佳主持人奖，1993年又获得了第7届星光奖最佳主持人奖。1994年，获得第1届全国广播电视“百优双十佳”节目主持人金话筒奖。2002年，与杨亚洲导演首次合作电影《美丽的大脚》并获得中国电影金鸡奖最佳女主角。,https://baike.baidu.com/item/%E5%80%AA%E8%90%8D/1049562
168,毕福剑,男,,主持人,中国,辽宁省大连市,毕福剑，男，1959年1月生，辽宁省大连市人。曾任中国中央电视台文艺部导演。主持的主要节目有《星光大道》、《梦想剧场》、《五一七天乐》等。因其主持风格朴实自然、风趣幽默，常被称作“老毕”。他是中国记者进入北极的第一人，同是也是央视优秀的主持人之一。,https://baike.baidu.com/item/%E6%AF%95%E7%A6%8F%E5%89%91
169,杜海涛,男,1987年10月28日,主持人，演员,中国,辽宁沈阳,杜海涛，1987年10月28日生于辽宁沈阳，湖南卫视主持人，影视演员，毕业于湖南大众传媒职业技术学院。2005年参加选秀节目《闪亮新主播》获得冠军，2006年开始主持湖南卫视的《快乐大本营》，2009年和吴昕一起出版《木土日斤》一书。,https://baike.baidu.com/item/%E6%9D%9C%E6%B5%B7%E6%B6%9B/5316
170,俞灏明,男,1987年11月14日,歌手、演员、主持人,中国,中国广州,俞灏明，1987年11月14日生于中国广州。中国内地男歌手、演员、主持人。2007年4月参加湖南卫视举办的快乐男声获得全国第六名，其健康亲和的形象被歌迷昵称为“国民弟弟”。同年签约DoremiMedia唱片发行首张EP《如果，可以爱你》；2008年参加《舞动奇迹》第二季并获得冠军，2009年发行首张专辑《拥抱》。主演电影《乐火男孩》，  电视剧《一起来看流星雨》,https://baike.baidu.com/item/%E4%BF%9E%E7%81%8F%E6%98%8E
171,董成鹏,男,1982年1月12日,演员、导演、编剧、主持人、歌手,中国,吉林省通化市集安市,"董成鹏，又名大鹏，1982年1月12日出生于吉林省通化市集安市，华语影视男演员、导演、编剧、主持人、歌手，毕业于吉林建筑大学管理学院工程管理专业。
。2008年，出演个人首部电影《完美新娘》，从而正式进军影坛。2010年，正式拜赵本山为师，成为赵本山第53位弟子。2012年，自编自导自演迷你喜剧《屌丝男士》；同年，参加湖南卫视明星模仿竞技类节目《百变大咖秀》，最终获得总决赛冠军。2015年，凭借电影《煎饼侠》获得“第12届电影频道传媒大奖”最佳新人导演奖、最佳新人男演员奖[。2017年自导自演电影《缝纫机乐队》。",https://baike.baidu.com/item/%E8%91%A3%E6%88%90%E9%B9%8F/5700623?fromtitle=%E5%A4%A7%E9%B9%8F&fromid=7576991
172,马可,男,1990年2月9日,演员,中国,河南省商丘市,马可，中国内地男演员，1990年2月9日出生于河南省商丘市。2012年，中央戏剧学院2008级表演系本科毕业。1999年，在历史剧《孙中山》中饰演幼年溥仪，初涉影视圈。2003年，在《绝对计划》中饰演天才少年阿丁。2004年，在《家有儿女》中饰演小雪的假男友狂野男孩。2014年，主演仙侠剧《花千骨》，饰演杀阡陌，为人熟知，并凭借该剧获得2015亚洲偶像影响力东方盛典“影视势力人气演员”奖。,https://baike.baidu.com/item/马可/1387579
173,梁宏达,男,1972年2月20日,中国媒体评论人、出版人,中国,黑龙江省绥化市,梁宏达，1972年2月20日出生在黑龙江省绥化市兰西县，毕业于黑龙江大学新闻专业。中国媒体评论人、出版人。1992年，在黑龙江大学新闻专业毕业后做记者。1998年南下北京，担任《当代体育》、《环球体育》、《乒乓世界》、《灌篮》等杂志主编、总策划。2005年，担任中国教育电视台《第一观察》主持人。2008年12月6日，中国之声正式开播《老梁说天下》、《体育评书》节目。2013年，主持浙江卫视《老梁刨楚汉》,https://baike.baidu.com/item/%E6%A2%81%E5%AE%8F%E8%BE%BE
174,孟非,男,1971年10月21日,主持人,中国,重庆市,孟非，1971年10月出生于重庆市，中国内地主持人。1994年毕业于南京师范大学中文系。2002年因主持《南京零距离》而成名，2003年获得第六届“百优电视节目主持人奖”。2010年1月15日起主持《非诚勿扰》，节目播出后受到广泛关注，2010年位居全国同时段综艺节目收视率第一位。012年获得第九届中国电视金鹰奖最佳电视节目主持人“金鹰奖最佳主持人”奖。,https://baike.baidu.com/item/%E5%AD%9F%E9%9D%9E
175,柯蓝,,1972年7月25日,演员、主持人、模特,中国,北京,柯蓝，1972年7月25日出生于北京，演员、主持人、模特。1994年加入卫视音乐台，成为第一代亚洲VJ。1996年加入凤凰卫视中文台，成为《音乐无限》节目的主持人。2016年，参演行业医疗剧《急诊科医生》。2017年，主演的反腐电视剧《人民的名义》在湖南卫视播出  。,https://baike.baidu.com/item/%E6%9F%AF%E8%93%9D/17954
176,张泉灵,女,1973年6月8,记者、编导、主持人,中国,上海,张泉灵，1973年6月8日生于上海长宁区，祖籍浙江省宁波市余姚市，1996年毕业于北京大学德语语言文学系，原央视主持人。1997年，张泉灵考入央视国际部，并任《中国报道》记者、编导、主持人，2000年，张泉灵任新版《东方时空》总主持人及《人物周刊》《焦点访谈》《新闻会客厅》栏目主持人，2010年获得第十一届长江韬奋奖。2015年7月上旬，张泉灵确认从央视离职，7月13日以顾问形式加盟傅盛战队,https://baike.baidu.com/item/%E5%BC%A0%E6%B3%89%E7%81%B5
177,焉冰,男,1980年10月23日,主持人、民谣歌手、作家、油画画师,中国,山东省烟台市,大冰，本名焉冰，1980年10月23日出生于山东省烟台市莱阳市，中国内地主持人、民谣歌手、作家、油画画师，毕业于山东艺术学院。2002年，担任山东卫视综艺节目《阳光快车道》的主持人，从而开启了主持生涯。2003年，获得山东广播电视台“我最喜爱的电视节目主持人评选获得”十佳主持人。2007年，大冰开始担任山东卫视综艺节目组的副制片人。2008年，获得“第16届优秀电视艺术奖电视文艺单项奖”最佳主持奖。,https://baike.baidu.com/item/%E5%A4%A7%E5%86%B0
178,白岩松,男,1968年8月20日,主持人、记者,中国,内蒙古自治区呼伦贝尔市,白岩松，1968年8月20日出生于内蒙古自治区呼伦贝尔市，中国内地节目主持人、记者，毕业于中国传媒大学新闻系。1993年，白岩松参与创办中央电视台电视新闻杂志节目《东方时空》，并推出了子栏目《东方之子》。2016年，获得中央电视台十佳优秀播音员、主持人奖。2018年3月，任政协第十三届全国委员会人口资源环境委员会委员。,https://baike.baidu.com/item/%E7%99%BD%E5%B2%A9%E6%9D%BE
179,海霞,女,1972年3月9日,主持人,中国,河南郑州,海霞，1972年3月9日生于河南郑州，毕业于中国传媒大学，中国中央电视台主持人。第十三届全国政协文化文史和学习委员会委员。1993年毕业后进入央视开始主持节目《早间新闻》、《晚间新闻》，1999年起主持《现在播报》2007年起因主持《新闻联播》被观众熟知,https://baike.baidu.com/item/%E6%B5%B7%E9%9C%9E/18189
180,陶晶莹,女,1969年10月29日,歌手、主持人、演员,中国,台湾省,陶晶莹，1969年10月29日生于台湾省，中国台湾流行乐女歌手、主持人、演员，毕业于中山女高、国立政治大学。1988年，推出首支个人单曲《加糖咖啡》，从而正式进入演艺圈。1990年，推出首张个人音乐专辑《天空不要为我掉眼泪》 。1991年，担任中视综艺节目《今夜来抓狂》的主持人，从而开启了主持生涯。,https://baike.baidu.com/item/%E9%99%B6%E6%99%B6%E8%8E%B9
181,王一博,男,1997年8月5日,歌手、演员,中国,中国河南省洛阳市,王一博（YiBo），1997年8月5日出生于中国河南省洛阳市，亚洲偶像团体UNIQ成员.2014年9月15日，出道预告公开成为UNIQ首位正式成员；同年，组合获尖叫2015爱奇艺之夜颁奖礼“2015最具期待组合奖”。2015年，主演电影《梦想合伙人》及电影《大话西游3》 ；组合获得酷音乐亚洲盛典“年度内地最佳新人”奖,https://baike.baidu.com/item/%E7%8E%8B%E4%B8%80%E5%8D%9A/15818247
182,李瑞英,女,1961年7月16日,播音员、新闻记者,中国,北京,李瑞英，1961年7月16日生于北京，祖籍河南省濮阳市，毕业于中国传媒大学，播音员、新闻记者。1986年进入中央电视台工作。1990年，她担任了北京亚运会开幕式大型团体操表演中文解说。1996年，她创意并主持了《烟台经济改革纪实》和《北京开发不忘农业》新闻系列报道。2006年，她作为评委参加《挑战主持人》CCTV新主持人选拔。2014年5月28日，李瑞英与张宏民退居幕后，一道告别《新闻联播》,https://baike.baidu.com/item/%E6%9D%8E%E7%91%9E%E8%8B%B1
183,张大大,男,1990年11月2日,主持人,中国,上海,张大大，本名张韡（wěi），出生于上海，中国大陆男主持人，毕业于上海戏剧学院。2010年开始担任湖南卫视主持人，主持湖南娱乐频道节目《单身厨房》，担任2010年度星姐选举主持人。2011年开始主持节目《挑战麦克风》。2013年2月，担任《我是歌手第一季》竞演歌手黄贯中经纪人。7月，主持节目《娱乐急先锋》。2015年担任《我是歌手》中谭维维的芒果“经纪人”。,https://baike.baidu.com/item/%E5%BC%A0%E5%A4%A7%E5%A4%A7
184,尼格买提·热合曼,男,1983年4月17日,主持人,中国,新疆维吾尔自治区乌鲁木齐市,尼格买提·热合曼，维吾尔族，毕业于中国传媒大学，1983年4月17日出生于新疆维吾尔自治区乌鲁木齐市。中国中央电视台综艺频道节目主持人。尼格买提2006年进入央视，先后主持《魅力新搭档》、《全家总动员》、《开心辞典》，2012年和李思思共同主持《回声嘹亮》，2013年主持《开门大吉》，2015年和朱迅共同主持《星光大道》，2015、2016、2017、2018连续四年主持中央电视台春节联欢晚会 。,https://baike.baidu.com/item/尼格买提·热合曼
185,李梓萌,女,1977年7月,主持人,中国,辽宁沈阳,李梓萌，女，汉族，中央电视台主持人，《新闻联播》节目主播。1977年7月出生于辽宁沈阳，1996年毕业于北京广播学院（现中国传媒大学）播音系，后分配到中央电视台。2000年至今，任央视播音组成员[。曾主持《新闻直播间》、《文化报道》、《国际时讯》等栏目。2007年12月正式成为《新闻联播》节目主播[2]  。,https://baike.baidu.com/item/%E6%9D%8E%E6%A2%93%E8%90%8C
186,徐熙媛,女,1976年10月6日,演员、歌手、主持人、作家,中国,台湾省台北市,徐熙媛（大S），1976年10月6日出生于台湾省台北市，中国台湾女演员、歌手、主持人、作家。2001年饰演电视剧《流星花园》中“杉菜”一角走红，并凭借该剧入围台湾电视金钟奖最佳女主角奖。,https://baike.baidu.com/item/%E5%BE%90%E7%86%99%E5%AA%9B?fromtitle=%E5%A4%A7S&fromid=1244130
187,徐熙娣,女,1978年6月14日,演员、流行乐歌手、节目主持人,中国,台湾省台北市,徐熙娣（小S），1978年6月14日生于台湾省台北市，祖籍山东省临沂市郯城县，华语影视女演员、流行乐歌手、节目主持人，毕业于华冈艺校戏剧科。1993年，徐熙娣与姐姐徐熙媛组成“ASOS”组合，从而正式进入演艺圈。2004年，与蔡康永搭档主持中天综合台明星访谈类节目《康熙来了》,https://baike.baidu.com/item/%E5%BE%90%E7%86%99%E5%A8%A3
190,汪涵,男,1974年4月7日,主持人,中国,江苏省苏州市,汪涵，1974年出生在江苏省苏州市吴中区，中国民主促进会（民进）会员，中国民主促进会中央委员，湖南卫视节目主持人，国内综艺主持，曾主持过《音乐不断歌友会》、《超级女声》、《快乐男生》等节目，现主持《天天向上》、《越策越开心》等。,https://baike.baidu.com/item/%E6%B1%AA%E6%B6%B5/1168090
191,阿米尔汗,男,1965年3月14日,印度宝莱坞演员、导演、制片人,印度,印度孟买,阿米尔·汗（AamirKhan），1965年3月14日出生于印度孟买，印度宝莱坞演员、导演、制片人。8岁的时侯，阿米尔·汗出演第一部电影《YaadonKiBaraat》。后来练习打网球，获得了马哈拉施特拉邦的网球冠军。1988年，阿米尔·汗放弃网球重回银幕。2002年，阿米尔凭借剧情爱情电影《印度往事》获得zee电影奖最佳男主角奖。2008年，凭借导演《地球上的星星》获得宝莱坞人民选择奖最佳导演奖。2009年，出演了励志喜剧电影《三傻大闹宝莱坞》，饰演Rancho 。,https://baike.baidu.com/item/%E9%98%BF%E7%B1%B3%E5%B0%94%C2%B7%E6%B1%97/3745832?fr=aladdin&fromid=9066462&fromtitle=%E9%98%BF%E7%B1%B3%E5%B0%94%E6%B1%97
192,全智贤,女,1981年10月30日,演员、模特,韩国,韩国首尔,全智贤，1981年10月30日出生于韩国首尔江南区。韩国影视演员、模特，毕业于东国大学。1997年从事模特行业出道。1999年主演爱情电影《白色情人节》，获得百想艺术大赏最佳女新人奖。2000年主演爱情电影《触不到的恋人》，凭借此片提名第38届韩国电影大钟奖最佳女主角奖。2001年爱情喜剧电影《我的野蛮女友》，获得韩国电影大钟奖最佳女主角奖。2013年主演爱情剧《来自星星的你》，凭借此剧获得第50届百想艺术大赏电视剧部门大赏和SBS演技大赏演技大赏,https://baike.baidu.com/item/%E5%85%A8%E6%99%BA%E8%B4%A4
